taxsuborder,pct,predicted_suborder
Xererts,100,Xererts
Ochrepts,85,Xerolls
Xererts,85,Ochrepts
Xerolls,85,Xeralfs
Saprists,168,Aquents
Saprists,168,Saprists
Xerolls,85,Xeralfs
Xeralfs,90,Xererts
Xererts,85,Xeralfs
Xererts,85,Xererts
Xeralfs,85,Orthents
Xererts,85,Xerolls
Xeralfs,85,Xeralfs
Xeralfs,85,Xeralfs
Saprists,85,Aquents
Xererts,40,Xeralfs
Xererts,85,Xeralfs
Xeralfs,90,Ochrepts
Xerolls,80,Xeralfs
Saprists,85,Saprists
Ochrepts,85,Xeralfs
Xerolls,15,Xerolls
Xererts,85,Xeralfs
Xerolls,85,Xerolls
Xerolls,85,Xererts
Xererts,85,Aquolls
Xeralfs,85,Xererts
Xerolls,80,Xeralfs
Xerolls,85,Xeralfs
Xererts,85,Xeralfs
Ochrepts,170,Ochrepts
Ochrepts,170,Xerolls
Aquerts,85,Xerolls
Aquepts,85,Aquerts
Xerolls,85,Xeralfs
Saprists,85,Aquents
Xererts,85,Xererts
Ochrepts,85,Xerolls
Orthents,60,Xeralfs
Orthents,60,Xeralfs
Ochrepts,85,Xerolls
Xererts,170,Xeralfs
Xererts,170,Xererts
Xererts,50,Xererts
Xeralfs,85,Xeralfs
Xererts,85,Xeralfs
Xeralfs,85,Aquerts
Xererts,85,Aquerts
Aquents,85,Aquepts
Aquolls,85,Fluvents
Ochrepts,85,Xerolls
Xererts,85,Xererts
Xerolls,85,Xeralfs
Xererts,85,Xerolls
Xerolls,85,Xerolls
Xeralfs,85,Xeralfs
Xerolls,80,Xeralfs
Xerolls,240,Xerolls
Xerolls,240,Xerolls
Xerolls,240,Xeralfs
Xererts,85,Xerolls
Xeralfs,85,Xerolls
Aquents,85,Aquepts
Saprists,85,Hemists
Xererts,85,Xeralfs
Xererts,100,Xerolls
Xererts,100,Xerolls
Xererts,85,Xererts
Xeralfs,85,Xerolls
Xererts,50,Xererts
Xererts,85,Xeralfs
Ochrepts,85,Xeralfs
Aquerts,85,Xerolls
Xeralfs,90,Aquolls
Xeralfs,170,Aquolls
Xeralfs,170,Xerolls
Xerolls,80,Xeralfs
Xererts,85,Xeralfs
Orthents,85,Xeralfs
Ochrepts,85,Xerolls
Xererts,85,Xerolls
Xerolls,95,Xerolls
Xerolls,85,Xerolls
Xerolls,80,Xerolls
Xererts,85,Xeralfs
Xererts,85,Xeralfs
Ochrepts,85,Xerolls
Xeralfs,85,Ochrepts
Saprists,84,Aquepts
Xerolls,85,Xeralfs
Xeralfs,85,Xeralfs
Saprists,85,Xererts
Xerolls,160,Xerolls
Xerolls,160,Xerolls
Xeralfs,340,Xeralfs
Xeralfs,340,Xeralfs
Xeralfs,340,Ochrepts
Xeralfs,340,Xeralfs
Xererts,85,Xeralfs
Xererts,85,Xeralfs
Xerolls,85,Xerolls
Psamments,170,Xerolls
Psamments,170,Xeralfs
Xerolls,85,Xerolls
Xerolls,85,Xerolls
Xererts,85,
Xererts,85,Xeralfs
Xerolls,85,Xerolls
Xererts,85,Xerolls
Xerolls,85,Xerolls
Xererts,85,Aquolls
Xererts,85,Xeralfs
Aquents,85,Aquolls
Xerolls,85,Ochrepts
Xeralfs,85,Xeralfs
Psamments,85,Xerolls
Xerolls,85,Xerolls
Xererts,50,Xererts
Ochrepts,85,Xeralfs
Xererts,85,Xeralfs
Xerolls,80,Xerolls
Saprists,85,Saprists
Xererts,85,Xerolls
Xererts,85,Xerolls
Xererts,170,Xerolls
Xererts,170,Xeralfs
Aquents,85,Xerolls
Xerolls,255,Xerolls
Xerolls,255,Xeralfs
Xerolls,255,Xeralfs
Xeralfs,170,Xeralfs
Xeralfs,170,Xerolls
Xerolls,80,Xeralfs
Xererts,85,Xeralfs
Xererts,85,Xeralfs
Xerolls,85,Xerolls
Ochrepts,85,Xeralfs
Xerolls,85,Udolls
Xerolls,80,Xerolls
Xerolls,85,Xerolls
Xeralfs,85,Xererts
Xererts,85,Xeralfs
Xerolls,80,Xerolls
